Loading inference model from files models/v0.5.0/output_graph.pbLoaded inference model in 0.164s.Loading language model from files models/v0.5.0/alphabet.txt models/v0.5.0/trieLoaded language model in 23.4s.# File (1089-134686-0000.flac):
# - actual    text: 'husband the next thing to a wife'
# - processed text: 'husband the next thing to a wife'
# - processed in 2.388 seconds.
# - WER = 0.0
# File (121-121726-0012.flac):
# - 4.045 seconds long.
# - actual    text: 'hussy woman and bond tie'
# - processed text: 'happy woman and born tie'
# - processed in 2.327 seconds.
# - WER = 0.4
# File (121-121726-0013.flac):
# - 2.49 seconds long.
# - actual    text: 'tied to a woman'
# - processed text: 'the tide to a woman'
# - processed in 1.469 seconds.
# - WER = 0.5
# File (121-121726-0014.flac):
# - 3.165 seconds long.
# - actual    text: 'hypocrite a horse dealer'
# - processed text: 'if acrid a force dearer'
# - processed in 1.811 seconds.
# - WER = 1.0
# File (1221-135766-0000.flac):
# - 12.435 seconds long.
# - actual    text: 'how strange it seemed to the sad woman as she watched the growth and the beauty that became every day more brilliant and the intelligence that threw its quivering sunshine over the tiny features of this child'
# - processed text: 'how strange it seemed to the sad woman as she watched the growth and the beauty that became every day more brilliant and the intelligence that through its quivering sunshine over the tiny features of this child'
# - processed in 7.981 seconds.
# - WER = 0.027
# File (1221-135766-0001.flac):
# - 16.715 seconds long.
# - actual    text: 'god as a direct consequence of the sin which man thus punished had given her a lovely child whose place was on that same dishonoured bosom to connect her parent for ever with the race and descent of mortals and to be finally a blessed soul in heaven'
# - processed text: 'god as a direct consequence of the sin which man thus punished had given her a lovely child whose place was on that same dishonoured bosom to connect her parent for ever with the race and descent of mortals and to be finally a blessed soul in heaven'
# - processed in 10.538 seconds.
# - WER = 0.0
# File (1221-135766-0002.flac):
# - 4.825 seconds long.
# - actual    text: 'yet these thoughts affected hester prynne less with hope than apprehension'
# - processed text: 'yet these thoughts affected hester prime less with hope than apprehension'
# - processed in 3.073 seconds.
# - WER = 0.091
# File (1221-135766-0003.flac):
# - 13.72 seconds long.
# - actual    text: 'the child had a native grace which does not invariably co exist with faultless beauty its attire however simple always impressed the beholder as if it were the very garb that precisely became it best'
# - processed text: 'the child had a native grace which does not invariably co exist with faultless beauty its attire however simple always impressed the beholder as if it were the very garb at precisely became it best'
# - processed in 8.566 seconds.
# - WER = 0.029
# File (1221-135766-0004.flac):
# - 7.44 seconds long.
# - actual    text: 'this outward mutability indicated and did not more than fairly express the various properties of her inner life'
# - processed text: 'this outward new nobility indicated and did not more than fairly express the various properties of her inner life'
# - processed in 4.657 seconds.
# - WER = 0.111
# File (1221-135766-0005.flac):
# - 16.645 seconds long.
# - actual    text: 'hester could only account for the child's character and even then most vaguely and imperfectly by recalling what she herself had been during that momentous period while pearl was imbibing her soul from the spiritual world and her bodily frame from its material of earth'
# - processed text: 'hester could only account for the child's character and even then most vaguely and imperfectly by recalling what she herself had been during that momentous period while pearl was imbibing her soul from the spiritual world and her bodily frame from its material of earth'
# - processed in 10.595 seconds.
# - WER = 0.0
# File (1221-135766-0006.flac):
# - 11.415 seconds long.
# - actual    text: 'they were now illuminated by the morning radiance of a young child's disposition but later in the day of earthly existence might be prolific of the storm and whirlwind'
# - processed text: 'they were now illuminated by the morning radiance of a young child's disposition but later in the day of earthly existence might be prolific of the storm and whirlwind'
# - processed in 7.51 seconds.
# - WER = 0.0
# File (1221-135766-0007.flac):
# - 8.795 seconds long.
# - actual    text: 'hester prynne nevertheless the loving mother of this one child ran little risk of erring on the side of undue severity'
# - processed text: 'hester prynne nevertheless the loving mother of this one child ran little risk of erring on the side of undue severity'
# - processed in 5.522 seconds.
# - WER = 0.0
# File (1221-135766-0008.flac):
# - 10.78 seconds long.
# - actual    text: 'mindful however of her own errors and misfortunes she early sought to impose a tender but strict control over the infant immortality that was committed to her charge'
# - processed text: 'mindful however of her own errors and misfortunes she early sought to impose a tender but strict control over the infant immortality that was committed to her charge'
# - processed in 6.74 seconds.
# - WER = 0.0
# File (1221-135766-0009.flac):
# - 10.19 seconds long.
# - actual    text: 'as to any other kind of discipline whether addressed to her mind or heart little pearl might or might not be within its reach in accordance with the caprice that ruled the moment'
# - processed text: 'as to any other kind of discipline whether a dress to her mind or heart little pearl might or might not be within its reach in accordance with the caprice that rolled the moment'
# - processed in 6.49 seconds.
# - WER = 0.091
# File (1221-135766-0010.flac):
# - 15.05 seconds long.
# - actual    text: 'it was a look so intelligent yet inexplicable perverse sometimes so malicious but generally accompanied by a wild flow of spirits that hester could not help questioning at such moments whether pearl was a human child'
# - processed text: 'it was a look so intelligent yet inexplicable perverse sometimes so malicious but generally accompanied by a wild flow of spirits that hester could not help questioning at such moments whether pearl was a human child'
# - processed in 9.408 seconds.
# - WER = 0.0
# File (1221-135766-0011.flac):
# - 21.345 seconds long.
# - actual    text: 'beholding it hester was constrained to rush towards the child to pursue the little elf in the flight which she invariably began to snatch her to her bosom with a close pressure and earnest kisses not so much from overflowing love as to assure herself that pearl was flesh and blood and not utterly delusive'
# - processed text: 'beholding it hester was constrained to rush towards the child to pursue the little elf in the flight which she invariably began to snatch her to her bosom with a close pressure and earnest kisses not so much from overflowing love as to assure herself that pearl was flesh and blood and not utterly delusive'
# - processed in 13.361 seconds.
# - WER = 0.0
# File (1221-135766-0012.flac):
# - 16.22 seconds long.
# - actual    text: 'brooding over all these matters the mother felt like one who has evoked a spirit but by some irregularity in the process of conjuration has failed to win the master word that should control this new and incomprehensible intelligence'
# - processed text: 'brooding over all these matters the mother felt like one who has evoked the spirit but by some irregularity in the process of conjuration had failed to win the master word that should control this new and incomprehensible intelligence'
# - processed in 9.942 seconds.
# - WER = 0.051
# File (1221-135766-0013.flac):
# - 3.645 seconds long.
# - actual    text: 'pearl was a born outcast of the infantile world'
# - processed text: 'pearl was a born outcast of the infantile world'
